datetime,open,high,low,close,volume
2026-03-17T11:20:00Z,74014.29,74014.29,74014.29,74014.29,0.00015
2026-03-17T11:25:00Z,73978.3,74054.6,73978.3,73995.78,0.00147
2026-03-17T11:30:00Z,73950.0,73950.0,73950.0,73950.0,0.01116
2026-03-17T11:35:00Z,74117.8,74117.8,74115.64,74115.64,0.00885
2026-03-17T11:40:00Z,74096.62,74096.62,74096.62,74096.62,4e-05
2026-03-17T11:45:00Z,74114.02,74196.74,74114.02,74143.34,0.0013
2026-03-17T11:50:00Z,74126.19,74126.19,74126.19,74126.19,2e-05
2026-03-17T11:55:00Z,74100.0,74100.0,74020.49,74021.71,0.18966
2026-03-17T12:00:00Z,74018.15,74059.64,74018.15,74059.64,0.00142
2026-03-17T12:05:00Z,74077.54,74151.35,74070.67,74151.35,0.04082
2026-03-17T12:10:00Z,74240.97,74240.97,74055.67,74060.86,0.01193
2026-03-17T12:15:00Z,74034.51,74108.9,73934.06,74108.9,0.00555
2026-03-17T12:20:00Z,74105.6,74111.5,73944.35,73944.35,0.03705
2026-03-17T12:25:00Z,73914.39,73914.39,73801.8,73801.8,0.01249
2026-03-17T12:30:00Z,73776.9,73824.53,73771.41,73804.74,0.00051
2026-03-17T12:35:00Z,73780.16,73913.24,73722.24,73866.3,0.00385
2026-03-17T12:40:00Z,73862.48,73925.35,73835.33,73848.45,0.00655
2026-03-17T12:45:00Z,73823.72,73824.53,73729.71,73745.13,0.00634
2026-03-17T12:50:00Z,73732.65,73745.07,73681.79,73688.18,0.0173
2026-03-17T12:55:00Z,73780.6,73780.6,73704.62,73717.08,0.00175
2026-03-17T13:00:00Z,73721.33,73759.56,73720.58,73722.98,0.00107
2026-03-17T13:05:00Z,73788.09,73862.9,73777.62,73806.13,0.00994
2026-03-17T13:10:00Z,73800.85,73814.39,73800.85,73812.03,0.00104
2026-03-17T13:15:00Z,73738.07,73738.07,73738.07,73738.07,6e-05
2026-03-17T13:20:00Z,73754.07,73754.07,73754.07,73754.07,0.00705
2026-03-17T13:25:00Z,73714.02,73739.7,73673.63,73723.31,0.00135
2026-03-17T13:30:00Z,73690.93,74087.39,73690.93,73936.5,0.09661
2026-03-17T13:35:00Z,73962.93,74018.52,73837.93,74018.52,0.03923
2026-03-17T13:40:00Z,74072.91,74121.86,73740.31,73740.31,0.18182
2026-03-17T13:45:00Z,73716.25,73849.32,73716.25,73753.44,0.02173
2026-03-17T13:50:00Z,73809.66,73809.66,73555.0,73555.0,3.37019
2026-03-17T13:55:00Z,73654.61,73654.61,73654.07,73654.07,0.00214
2026-03-17T14:00:00Z,73646.37,73646.37,73555.0,73555.13,5.10789
2026-03-17T14:05:00Z,73570.43,73726.45,73570.43,73670.46,0.00191
2026-03-17T14:10:00Z,73727.99,73806.62,73660.61,73760.97,0.036
2026-03-17T14:15:00Z,73712.51,73712.51,73570.0,73570.0,0.01204
